year,month,loadE,solarE,windE,loadPmax,solarPmax,windPmax,netLoadmin
2011,1,598027.69999999995,455.46666666666664,7790.083333333333,29270.2,65.1,525.2,18520.3
2011,2,592113.48148148146,2228.7037037037039,15290.462962962964,28526.925925925927,260.0740740740741,1038.5925925925926,17988.62962962963
2011,3,581368.8833333333,2202.9666666666667,21724.983333333334,27871.1,250.16666666666666,1323.6,17305.5
2011,4,572420.12068965519,3037.7241379310344,30762.258620689656,27030.862068965518,345.6551724137931,1785.3793103448277,16725.896551724138
2011,5,582641.41666666663,3271.0333333333333,31135.633333333335,27216.533333333333,360.7,1797.2,16957.366666666665
2011,6,633410.62068965519,4953.3448275862065,34113.65517241379,30103.862068965518,436.37931034482756,1966.4137931034484,17795.44827586207
2011,7,704352.1166666667,4495.7333333333336,27351.766666666666,35337.2,418.8333333333333,1714.4,19342.933333333334
2011,8,717710.90000000002,4647.1999999999998,28739.483333333334,36495.333333333336,417.8,1851.7666666666667,19405.466666666667
2011,9,687563.41379310342,4069.1724137931033,17042.689655172413,34711.48275862069,393.0344827586207,1308.1379310344828,19380.0
2011,10,609032.0,3019.1333333333332,13245.783333333333,29602.333333333332,319.03333333333336,1004.7666666666667,18063.933333333334
2011,11,588379.81034482759,1975.7586206896551,14806.379310344828,28552.689655172413,220.0344827586207,1019.0,17903.655172413793
2011,12,608365.15000000002,1306.5,9557.7999999999993,29993.6,165.46666666666667,758.2,19117.166666666668
2012,1,591949.93333333335,598.10000000000002,12893.866666666667,28845.533333333333,84.3,910.6,18191.6
2012,2,585251.41071428568,1890.0,19318.035714285714,28153.214285714286,209.67857142857142,1363.5357142857142,17625.678571428572
2012,3,585661.43333333335,3244.0666666666666,23604.349999999999,28057.266666666666,339.0,1492.2333333333333,17790.066666666666
2012,4,581494.8448275862,5760.7241379310344,27419.931034482757,27509.275862068964,612.3793103448276,1863.551724137931,17148.03448275862
2012,5,615668.8666666667,6468.0333333333338,43196.050000000003,28939.533333333333,700.3666666666667,2442.0,17007.9
2012,6,658713.44827586203,8479.0,44251.379310344826,31724.241379310344,833.7241379310345,2576.4137931034484,18050.103448275862
2012,7,704873.71666666667,8779.6666666666661,31536.599999999999,34994.333333333336,901.7666666666667,2146.366666666667,19438.866666666665
2012,8,778750.58333333337,8576.1333333333332,30328.533333333333,39934.0,942.6,2169.233333333333,21062.666666666668
2012,9,718295.0,8612.4482758620688,22091.5,36435.65517241379,977.1724137931035,1691.3103448275863,19874.41379310345
2012,10,635425.75,6688.5,22732.033333333333,31080.133333333335,877.8,1444.4333333333334,18421.8
2012,11,589941.08620689658,5330.2758620689656,13836.155172413793,28673.310344827587,794.7586206896551,946.3448275862069,17924.51724137931
2012,12,601769.51666666672,4443.3000000000002,22037.733333333334,29736.2,710.2,1556.8666666666666,18161.133333333335
2013,1,609289.94999999995,6236.3000000000002,15838.533333333333,29457.7,928.4,1104.8333333333333,19132.466666666667
2013,2,592263.92592592596,9635.8518518518522,27112.981481481482,28386.85185185185,1261.2222222222222,1969.8148148148148,18024.814814814814
2013,3,575273.98333333328,11041.433333333332,37177.150000000001,27645.333333333332,1394.3,2542.266666666667,16970.966666666667
2013,4,596873.41379310342,13618.931034482759,54268.15517241379,28162.655172413793,1549.0,3335.5172413793102,16492.068965517243
2013,5,632973.16666666663,14897.433333333332,56908.349999999999,29854.033333333333,1664.0666666666666,3162.4333333333334,17253.3
2013,6,691562.27586206899,18798.655172413793,55829.482758620688,33310.1724137931,2039.5862068965516,3288.3793103448274,18286.241379310344
2013,7,742685.28333333333,17689.866666666665,45906.566666666666,37232.7,1974.1,3018.5333333333333,20046.133333333335
2013,8,726002.41666666663,20411.666666666668,41420.099999999999,36246.13333333333,2311.9333333333334,2630.6,19404.4
2013,9,699239.01724137936,21698.862068965518,38958.65517241379,34886.89655172414,2550.0689655172414,2606.5862068965516,19328.206896551725
2013,10,601584.1333333333,19397.033333333333,24284.400000000001,28919.033333333333,2423.366666666667,1830.1,17834.533333333333
2013,11,581457.77586206899,16368.448275862069,14862.672413793103,28370.344827586207,2321.896551724138,1086.344827586207,17870.655172413793
2013,12,606218.6333333333,16814.700000000001,14267.733333333334,29727.333333333332,2536.5333333333333,1179.5666666666666,18862.733333333334
2014,1,588662.23333333328,17530.533333333333,17341.633333333335,28540.1,2634.6666666666665,1260.4666666666667,18219.2
2014,2,581578.1481481482,21843.740740740741,30798.5,27913.925925925927,2991.740740740741,2139.8518518518517,17292.25925925926
2014,3,574220.75,29531.700000000001,35792.033333333333,27470.466666666667,3609.266666666667,2698.5,16505.766666666666
2014,4,592970.82758620684,35381.931034482761,44818.551724137928,27959.48275862069,3929.6206896551726,2965.344827586207,16787.379310344826
2014,5,642228.09999999998,39434.26666666667,58062.116666666669,30817.333333333332,4152.533333333334,3275.766666666667,17417.833333333332
2014,6,683595.5,44481.413793103449,63808.896551724138,33159.48275862069,4487.9655172413795,3685.7586206896553,17873.620689655174
2014,7,761444.08333333337,39574.433333333334,47140.033333333333,38128.2,4261.133333333333,3153.0666666666666,20419.1
2014,8,738578.80000000005,40017.400000000001,42267.183333333334,37257.03333333333,4350.866666666667,2707.5666666666666,20074.333333333332
2014,9,732645.48275862064,39079.172413793101,32859.189655172413,37178.96551724138,4477.517241379311,2381.8275862068967,20160.344827586207
2014,10,642224.8666666667,33602.199999999997,25654.633333333335,31801.666666666668,4193.566666666667,1903.9,18319.8
2014,11,576921.03448275861,27818.310344827587,22377.379310344826,28321.827586206895,3959.9655172413795,1499.6896551724137,17201.862068965518
